             time             Te01             Te02             Te03             Te04             Te05             Te06             Te07             Te08             Te09             Te10             Te11             Te12             Te13             Te14             Te15             Te16             Te17             Te18             Te19             Te20             Te21             Te22             Te23             Te24             Te25             Te26             Te27             Te28             Te29             Te30             Te31             Te32             Te33             Te34             Te35             Te36             Te37             Te38             Te39             Te40             Te41             Te42             Te43             Te44             Te45             Te46             Te47             Te48             Te49             Te50             Te51             Te52             Te53             Te54             Te55             Te56             Te57             Te58             Te59             Te60             Te61             Te62             Te63             Te64             Te65             Te66             Te67             Te68             Te69             Te70             Te71             Te72             Te73             Te74             Te75             Te76             Te77             Te78             Te79             Te80             Te81             Te82             Te83             Te84             Te85             Te86             Te87             Te88             Te89             Te90             Te91             Te92             Te93             Te94             Te95             Te96
 60.143015        1044.89810505077 1151.16938782466 1220.72313629992 1322.79325156751 1461.62421232057 1619.09684814302 1705.75091450405 1903.23452099465 2022.2416505071  2209.57436040984 2254.01593416836 2676.3568710003  1086.13432205849 1186.96383895696 1260.35871364876 1396.41360280082 1493.08874352929 1625.65526382888 1747.36690128315 1926.58408345161 2124.84308868011 2227.47098929953 2449.0355456588  3005.95084229985 165.560276303766 166.836932295398 132.712582945708 111.730434716978 115.755329896968 28.6353781581063 102.758870209953 117.931879554506 200.713478239221 128.501633303278 82.0989222054532 141.747935273599 70.1233130845713 -446.30423913048 68.9803421815842 280.485416123576 273.215935530135 403.956060589522 483.134982928628 537.360109723041 620.724892234241 658.937323123445 718.71545624367  869.557674668449 5116.16156722533 5014.02993565728 5008.87055719814 5153.46564808176 5035.88050841726 5082.46690011113 4986.08868684075 4887.85105934839 4901.96926596571 4690.66971687951 4874.0106395133  5002.94189743948 4752.93451824463 4667.91151775835 5020.13682039824 4594.64816590475 4528.92810984785 4353.79274195788 4269.99254661396 4134.67059793627 3927.25034702509 3842.01523228585 3657.13901035663 3544.01930771652 3204.25846128107 3204.69591200368 3369.02647390217 3540.1477076849  3695.66847279322 3810.38779787399 3969.84998696873 3978.36815104515 4272.98026264282 4504.39252570042 4654.56595849756 4665.72217656832 3214.36084511317 3381.02807120405 3490.1350826594  3728.21190032185 3786.65896629801 3975.09105171074 4002.16842321614 4173.34407544501 4460.35766222943 4650.74584198778 4688.93410003641 4836.71721809601
 60.14302         1074.50284152214 1166.31325549705 1222.83877739487 1296.44018191476 1458.12814613527 1605.66034660279 1715.90259370252 1892.14849533169 2024.26028000293 2204.57953496903 2283.93012526025 2697.60044285053 1092.04052908238 1177.6957116162  1266.05777759965 1408.03201880234 1512.46927630992 1653.92622912543 1745.02818129797 1918.56660735057 2087.15184642914 2228.4443790336  2380.99347529483 3007.0368584788  162.204324949287 144.719120229072 144.125864410787 111.450829474193 118.88554304594  56.0776152751619 106.097605186447 119.578973957075 188.971556223046 141.008857834885 95.0619102770022 138.754765263161 83.0407614889382 -802.28499420639 113.434338494745 260.744505982821 279.074746953203 396.342452740971 514.503902352708 541.959475538952 617.663783972891 654.465555124057 725.811376584949 873.676540021302 5048.46055513721 5023.87558225374 5068.7550569785  5157.44330891407 5062.11980373261 5047.54848466923 4994.97074078909 4893.8304868073  4858.0685022507  4715.43719537138 4826.80053311373 5025.77484221258 4739.83246949046 4700.29295623865 4985.12779415156 4652.71399046389 4471.50372063179 4412.10243521945 4256.02685039588 4134.90338964008 3855.62978882642 3811.48214642708 3708.15389287354 3532.81112313829 3217.7514095577  3189.60423942337 3371.90621404696 3558.10207110635 3742.53780225767 3824.17640035384 4014.94899099285 3982.04880113837 4193.92546634274 4477.35559190032 4690.13473753973 4653.53294162421 3210.25474037342 3407.82423624901 3474.99671557204 3752.04411303246 3784.26831346321 3957.35190692602 3973.11135011813 4207.13541699138 4468.37261034957 4790.15243902773 4653.23979063785 4801.20902411327
 60.143025        1068.96527001284 1168.19156844266 1221.51650574573 1279.05837122969 1462.2965232713  1605.85228206407 1749.8306110831  1891.15866039218 2008.11141652236 2203.01864368292 2307.35690406686 2721.49944345529 1093.25206749739 1157.54762281659 1263.7493016842  1418.84916347001 1520.03242137415 1651.96085921712 1728.65703944249 1935.96626026016 2054.84507322539 2248.56135765202 2371.88929209635 3019.52548114714 147.661868131598 116.309172943341 166.95242936595  112.848858247948 117.821268626575 62.6398888674686 113.08421873442  122.379032807842 180.532050298818 151.095330571807 117.452524129819 143.67211319838  180.844321657107 -796.97184346568 91.9737871390058 225.375378680447 281.808860142597 395.472322051807 543.996046127435 552.997968468851 613.128808002031 645.522010321038 732.907296926229 875.735967863255 5005.66504990576 5039.24862271242 5106.29709221498 5108.91580791605 5039.39285821165 5001.28824932663 4976.55894453751 4885.35966503221 4809.38371398209 4798.98133505896 4772.69845450238 4978.41775341588 4708.01315927056 4707.17952252806 4949.7116417127  4622.44029589154 4357.49935560007 4424.06342133816 4247.64745823651 4137.92971020661 3885.83940305576 3793.64056183926 3754.0324949417  3515.81209184049 3242.0188318927  3184.46126904312 3392.45097603074 3580.86666120891 3792.05104642667 3825.32543757315 4063.16804580188 4066.26752650672 4168.02055335721 4460.73152763679 4676.63177251988 4639.2321550385  3193.34734912564 3416.33777259603 3452.32399448406 3756.85237274191 3803.18740859854 3923.28462081925 3955.9940472978  4225.43007494707 4429.13238903828 4848.02880134768 4634.17575184815 4753.29615244167
 60.14303         1080.67937483961 1174.53086388647 1235.9293006171  1277.37624947883 1460.54849838557 1624.47140424011 1783.22433642388 1876.70722976631 1986.51228790025 2191.46815867534 2304.47360482951 2721.16749713421 1092.49487331881 1145.2169899921  1247.5177960051  1423.45646446999 1523.81399390626 1636.38915323025 1724.98185851416 1935.11332752373 2019.17301713703 2283.27940012181 2423.16045557462 3064.05002348803 137.966896682735 100.292827955031 161.113076364341 116.483733230368 114.753657944708 74.5712958644203 116.7939248928   131.273336801282 169.52399945845  166.830225702047 146.521041201033 145.810089214067 280.493234739897 -568.50657949340 79.71061639759   226.19791853135  292.745309920267 396.342446102527 544.800374457602 554.071159440289 613.242180844363 638.886476086061 741.306549394709 866.706118287889 4962.16803236369 5028.53933400313 5080.71534564784 5077.89004371308 4959.22868091444 4982.35552073645 4968.4170993982  4903.63013331776 4825.42442653266 4846.66804144913 4724.10997048635 4867.63594419588 4677.90961166363 4702.05127262641 4896.79095130452 4575.29274969516 4269.67376457805 4413.59758129771 4246.60000757963 4111.85666995904 3972.39505376299 3772.48816449972 3751.07258650205 3535.61321488833 3267.7118109838  3189.89928199693 3391.85395673243 3622.64837575209 3809.51688349314 3820.21854314808 4096.07048451921 4140.69193880683 4192.13899582018 4425.83923834105 4661.15271285054 4662.17110317039 3210.19429881357 3407.7849270897  3453.09136851396 3747.93269269385 3819.2624588574  3918.64825566931 3941.09562066295 4280.74461150097 4324.1022396775  4814.30945459834 4601.42212601138 4736.70497268997
 60.143035        1057.03817791667 1169.48290321895 1243.20181082821 1289.24447119032 1459.74170883085 1635.98838715018 1774.94269566998 1870.570306305   1966.52804809028 2180.54203399288 2312.04225982818 2713.5330761551  1067.35567535227 1141.50974495847 1224.21656687397 1400.82057679765 1512.15415007402 1630.49306195985 1701.59451591944 1939.03676397139 2014.46159645081 2310.8591521901  2478.26495165073 3073.28069704121 141.882174092705 112.114417100193 132.71258395821  117.825841638188 111.060005397249 73.3781551078326 114.691758635767 119.743683522993 161.084493534222 178.127073566786 171.268561499167 135.547795530692 348.771194029927 -281.59671310960 101.171167753329 250.462787262371 294.698250041194 396.124917579264 522.010988586185 564.343100758189 611.654940292521 632.539443722354 739.279144845582 857.359446303924 4988.82751268476 5022.49375487319 5024.40227251566 5030.1581137254  4903.23774048934 4997.80542542317 4952.31835967584 4900.30823367948 4848.50048749544 4798.24206189618 4709.98138959394 4701.88597856406 4696.62691120918 4698.3882625335  4839.39236970195 4501.84195168197 4186.91501475267 4353.79274195788 4208.89284941033 4124.66038417053 4032.81424078744 3766.60231008956 3722.43114829686 3525.33909889801 3269.89985752527 3208.27903054148 3390.30873031328 3646.81131836798 3806.71273390468 3790.0239932355  4087.13578891374 4182.67656518444 4208.66459780964 4387.29335755827 4641.06291307348 4676.56791411    3232.17385731341 3415.98464148352 3461.67210758316 3728.49056801946 3796.09796551365 3907.25884792782 3959.79778345217 4291.93671914544 4306.73636248116 4684.96827047383 4609.43305267148 4736.54991705801
 60.14304         1071.73405251766 1171.12643062891 1236.45821896125 1304.66381220308 1451.67386252523 1620.6324021264  1736.47313072996 1871.95604138889 1952.19590680238 2178.04463079917 2319.61091482685 2696.93652994922 1059.63218381359 1147.71535697772 1220.10458837061 1387.59961812842 1508.37257754191 1641.22695136123 1688.89853460045 1922.66060535786 2013.78852755    2313.45491755861 2538.16110616268 3083.05437868387 138.153339412441 136.710948462258 102.98496481137  116.819261398919 109.620107577982 90.0821262689872 112.775077969676 108.214030244704 170.624804822432 183.37203655813  182.660276858968 130.630445964348 383.832850132253 -292.22300445715 199.276543917703 265.679738812861 305.048817782586 398.517767846605 504.047593150692 574.768347719829 617.663777053161 637.011216123864 740.727298528101 849.121705929269 5046.00511218172 5054.10352007343 4972.7404407793  5016.63408631748 4910.46904592245 5014.77350312666 4942.97365828086 4936.18475788288 4902.25074585795 4706.93498994424 4727.90050893161 4678.20738255125 4725.95066018798 4673.6259923612  4751.86967985535 4418.4653496868  4186.07054981024 4316.41468315034 4178.51759012438 4112.55504507048 4069.47305148308 3776.53474834473 3678.72900325233 3509.27409058264 3260.38514919926 3234.9212473171  3388.37719728934 3668.84879356653 3800.66378879696 3790.53467644408 4066.99726041639 4190.59937674457 4224.74354127814 4358.97766673771 4644.35631035103 4720.91007680751 3225.38069772458 3435.60121462588 3494.66966775274 3680.19891911376 3776.23090908805 3899.0948018736  3977.86603320914 4284.40365869351 4308.40617561254 4677.41918774956 4600.81370872273 4781.671749499  
 60.143045        1078.76252191338 1173.12215067252 1208.29378118388 1309.80360394805 1461.35527152644 1595.67892939162 1715.36830166273 1893.53418208498 1963.09638780371 2197.39947697038 2353.48964786948 2701.58355559357 1073.11041581116 1152.8732635392  1231.35843817882 1377.98437434842 1506.00909230512 1642.58756651456 1697.58525544105 1923.00177012321 2036.6724799211  2303.07197490654 2576.0154739425  3071.65177219448 121.000697891842 136.13893531     84.9360536927545 115.644916648736 115.943141119293 104.996386579723 114.691760522595 97.5079235393923 166.22158266664  182.766847455169 187.766907365616 135.547795530692 444.729411842507 -159.39436007933 303.513506183716 275.138925526632 312.665272334584 410.482002587201 513.163348317456 575.228283365688 625.259861285372 649.272525843311 737.831008840396 848.012793657854 5138.61167394604 5110.4137870611  4968.08923993839 5065.95715832584 4992.69933210379 5002.0921187994  4940.66060175165 4943.32683602267 4915.19579792905 4645.94041901135 4749.26561437516 4739.09509764098 4749.50322149765 4644.17499772681 4697.32063375433 4397.62120676068 4213.09384030443 4343.70063140344 4152.33204822767 4117.21096439762 4067.77582255355 3808.72321812678 3681.42778955815 3453.04648166924 3211.51875485654 3295.66720751838 3414.85713636102 3644.74178286634 3773.74397621961 3790.08782863657 4057.63710806167 4188.16636386278 4202.41165111837 4351.67039456463 4684.53586970304 4740.58574341911 3215.20608347315 3467.77238998179 3524.38837985012 3647.02892273259 3760.89781333064 3879.64218676837 4006.18353250416 4245.66200226293 4360.16985272848 4802.73418213435 4608.31762097563 4855.94441930174
 60.14305         1100.69985317949 1183.33547910556 1190.83977443213 1319.5224801877  1464.7168755216  1583.77805212794 1728.72579832116 1907.98561271086 1982.27317088717 2213.63257867613 2359.25624634418 2712.53727771019 1110.0620000962  1165.36506895392 1260.35874006687 1384.59485979615 1508.84526689576 1624.59695223494 1721.30667758583 1913.27842854931 2060.90257009381 2303.3964579549  2581.76548746214 3113.4614397908  105.898915018663 135.566922885083 91.5716833462912 112.457410566739 118.885542090688 128.859201711479 124.02785444886  98.3314694840614 175.394957667083 170.461351085497 167.733199958116 161.203528923568 453.95616937626  21.2525953624471 338.770128460941 263.212127888798 324.187601168628 432.887745851773 533.003519402302 562.043413171573 633.7629420957   665.572857358422 737.686196123744 860.05258664571  5162.81566849209 5151.52374201265 4989.60118070038 5136.75957940671 5063.56609508376 4961.90461912951 4949.45013524585 4945.81823033885 4902.25064280209 4646.31007815495 4752.02241167282 4846.49430190218 4726.26261010309 4637.28843143739 4668.01067851075 4348.98478239433 4263.76245843898 4385.93781230492 4173.97873672254 4088.34442370428 4068.11525176576 3855.62643619713 3686.56411251417 3436.98142774839 3172.83013581053 3344.10379559657 3437.54417835796 3639.428168944   3736.44879842898 3811.98368290081 4063.59360642241 4208.81550752049 4196.60533568784 4409.76325740007 4708.57773817273 4755.07853184861 3214.14938810474 3483.30870303737 3560.87403785511 3653.92776860524 3734.84801740065 3865.93467027232 4033.33871172889 4194.00640780939 4352.32184107896 5014.10883630017 4609.83871371037 4905.87301418879
 60.143055        1096.44018578756 1192.9618150391  1197.45115688907 1321.39150055287 1478.2977536924  1584.73781144301 1745.55624215415 1909.5693341149  2009.12068198853 2211.13517548242 2353.48964786948 2728.13802547116 1130.65796828958 1170.76474915744 1275.72456837843 1383.39295890849 1505.53640295127 1601.76853982434 1756.05356094822 1912.42549581288 2067.29663222235 2309.88580206336 2554.45282088359 3147.66932554011 125.475299223675 136.138934582658 100.06528982932  108.487009122322 120.075023354768 140.790609277356 128.974128383286 97.5079222827772 168.790126183054 166.023303819996 144.164133257256 175.100385258975 389.368915035554 180.646968109136 298.914820262146 252.519135712995 322.820546063883 441.153939270115 539.438166498561 542.87936086665  628.320976466452 672.78539533594  730.735088499116 873.518143320424 5141.4178944666  5123.19590118126 5036.3626017399  5209.15309395342 5104.68121295399 4946.09754086798 4939.08766367946 4931.53403350923 4853.00299780486 4702.86869424026 4708.60296991274 4861.71623067461 4672.76239998439 4632.89274778274 4657.42654042912 4381.24354689102 4311.8976302042  4394.53477678109 4209.24194280377 4060.17625812237 3990.38492631302 3870.70909248464 3688.65342964291 3405.59854285318 3147.26979601337 3368.0480627219  3453.55854883967 3621.36191438065 3710.00965138354 3820.85692832843 4063.16814967316 4190.59928536266 4155.51468723488 4486.48970441643 4728.33820224224 4729.06830404022 3247.08859352565 3474.59896571095 3570.98952498412 3701.87099782552 3712.01318322073 3861.90304198365 4069.89780273361 4183.02958150832 4373.02730377215 5064.93938193407 4643.30211020411 4921.6889157807 
 60.14306         1077.0586627562  1186.0355270958  1214.50850312914 1335.59598916528 1479.23900543726 1588.96071962585 1735.67170897557 1881.6562715547  2011.13931148437 2179.29333239603 2320.69215754023 2729.79769629907 1119.75423347157 1178.58220513256 1278.39374833388 1385.7967851363  1502.70022836063 1591.18584833897 1753.38074102114 1901.84924232559 2058.21035611001 2308.91239252562 2519.47343061781 3165.04475588922 162.390766967784 152.536621672474 102.188691196951 105.802794866513 114.127616079116 144.370030978194 128.850469435829 86.9665251433834 183.100593815232 181.758197411184 107.632079234076 183.652295846225 345.080507558911 -15.939426887440 337.23723559019  220.440157616743 309.345280088817 442.024063320836 533.003515311318 528.927929703217 621.631888812359 664.707356146733 731.748795193013 884.607420737743 5080.38174175386 5082.43144524487 5073.48931425309 5277.56894766781 5099.51596596412 4956.0997527365  4909.48066659832 4938.84220460343 4822.61017724152 4760.90594689996 4654.50097543089 4789.83484301095 4615.83074079941 4611.64696729962 4663.12571081613 4343.52555234088 4248.56188330703 4342.20557657887 4266.85015202417 4053.19239334013 3945.57973165579 3867.95011927918 3668.63046710103 3400.74162790509 3155.22634066409 3342.62833572785 3444.8138348758  3620.97041828131 3696.1490992053  3851.3068198453  4050.82973082619 4141.00382526421 4149.26176780382 4558.83179704884 4698.03891512711 4736.5546419797  3266.41134744003 3430.26555178727 3591.01128354205 3724.58830156817 3696.02056787854 3880.8517097045  4082.89423231083 4194.43686540401 4384.88285063062 4958.74877345447 4658.7155957488  4883.85481160783
